1.958e+06,3910
1.8601e+06,3903
1.7671e+06,3995
1.67874e+06,3931
1.5948e+06,3947
1.51506e+06,3830
1.43931e+06,3811
1.36734e+06,3818
1.29898e+06,4011
1.23403e+06,4053
1.17233e+06,3856
1.11371e+06,3955
1.05803e+06,3949
1.00512e+06,3852
954868,3929
907124,3916
861768,3911
818680,3883
777746,4019
738858,3841
701915,3882
666820,3846
633479,3996
601805,3868
571715,3840
543129,3944
515972,3867
490174,3916
465665,3942
442382,3814
420263,3958
399250,3811
379287,3803
360323,3926
342307,3894
325191,4089
308932,3793
293485,4085
278811,3811
264870,3916
251627,3886
239045,3927
227093,3939
215739,3996
204952,3851
194704,3899
184969,3862
175720,3961
166934,3938
158588,3822
150658,3963
143125,4006
135969,3866
129171,4098
122712,4048
116576,4094
110748,3882
105210,3857
99949.8,3846
94952.3,4006
90204.7,3957
85694.4,3835
81409.7,3728
77339.2,3981
73472.3,3814
69798.7,3981
66308.7,3968
62993.3,3891
59843.6,3998
56851.4,3877
54008.9,3899
51308.4,3960
48743,3986
46305.9,3895
43990.6,3878
41791,3854
39701.5,3939
37716.4,3831
35830.6,3854
34039.1,3886
32337.1,3734
30720.2,3940
29184.2,4071
27725,3943
26338.8,4034
25021.8,3766
23770.7,3854
22582.2,3873
21453.1,3997
20380.4,3897
19361.4,3912
18393.3,3873
17473.7,3963
16600,3945
15770,3863
14981.5,3965
14232.4,3931
13520.8,3907
12844.8,3974
12202.5,3932
11592.4,3913
11012.8,3996
10462.1,3804
9939.03,3942
9442.08,3802
8969.98,3916
8521.48,3984
8095.4,3839
7690.63,3900
7306.1,3932
6940.8,3903
6593.76,3886
6264.07,4009
5950.86,4093
5653.32,3888
5370.66,3825
5102.12,3932
4847.02,4009
4604.67,3964
4374.43,3956
4155.71,3907
3947.93,3977
3750.53,3768
3563,3983
3384.85,3853
3215.61,3867
3054.83,3807
2902.09,3997
2756.98,3837
2619.13,3908
2488.18,3877
2363.77,3836
2245.58,3693
2133.3,3925
2026.64,3861
1925.3,3874
1829.04,3755
1737.59,3765
1650.71,3697
1568.17,3951
1489.76,3914
1415.28,3925
1344.51,3833
1277.29,3814
1213.42,4026
1152.75,3856
1095.11,3901
1040.36,3828
988.34,4039
938.923,3981
891.977,3813
847.378,3929
805.009,3913
764.758,4117
726.521,3941
690.195,3989
655.685,3990
622.901,4031
591.756,4048
562.168,3970
534.059,3953
507.356,3899
481.989,4004
457.889,3965
434.995,3656
413.245,3827
392.583,3818
372.954,3850
354.306,3746
336.591,3812
319.761,3844
303.773,3926
288.584,3866
274.155,3919
260.447,3983
247.425,3855
235.054,3952
223.301,3909
212.136,3872
201.529,3842
191.453,3770
181.88,3927
172.786,3908
164.147,4019
155.939,3882
148.142,3702
140.735,3979
133.699,3802
127.014,3913
120.663,3837
114.63,3934
108.898,3850
103.453,3817
98.2808,3793
93.3667,3870
88.6984,3782
84.2635,3756
80.0503,3771
76.0478,3970
72.2454,3789
68.6331,3937
65.2015,3876
61.9414,3844
58.8443,3807
55.9021,3740
53.107,3782
50.4517,3632
47.9291,3716
45.5326,3817
43.256,3798
41.0932,3675
39.0385,3873
37.0866,3729
35.2323,3753
33.4707,3757
31.7971,3613
30.2073,3572
28.6969,3603
27.2621,3615
25.899,3796
24.604,3665
23.3738,3663
22.2051,3508
21.0949,3480
20.0401,3476
19.0381,3715
18.0862,3545
17.1819,3700
16.3228,3496
15.5067,3523
14.7313,3468
13.9948,3436
13.295,3323
12.6303,3284
11.9988,3225
11.3988,3455
10.8289,3346
10.2874,3206
